,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,relatives,not_alone,Title,Age_imputed,Age_Class,Fare_Per_Person
38,0,3,female,1,2,0,2,0,M,2,0,2,-0.8438921828815316,-0.2890038844942691,6
39,1,3,female,1,1,0,1,2,M,1,0,2,-1.1393131970865789,-0.6593232828604253,5
40,0,3,female,5,1,0,1,0,M,1,0,3,0.7809233952462277,1.7477528065195898,4
41,0,2,female,3,1,0,2,0,M,1,0,3,-0.17919490092017554,-0.2890038844942691,10
42,0,3,male,4,0,0,0,2,M,0,1,1,-0.05180265134485492,0.703904895404508,7
43,1,2,female,0,1,2,3,2,M,3,0,2,-1.9517209861504583,-1.7702814779588936,10
44,1,3,female,2,0,0,0,1,M,0,1,2,-0.7700369293302698,-0.19642403490273008,7
45,0,3,male,4,0,0,1,0,M,0,1,1,-0.05180265134485492,0.703904895404508,8
46,0,3,male,4,1,0,2,1,M,1,0,1,-0.05180265134485492,0.703904895404508,7
47,1,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
48,0,3,male,4,2,0,2,2,M,2,0,1,-0.05180265134485492,0.703904895404508,7
49,0,3,female,1,1,0,2,0,M,1,0,3,-0.8438921828815316,-0.2890038844942691,8
50,0,3,male,0,4,1,3,0,M,5,0,4,-1.6562999719454112,-1.3073822300011986,6
51,0,3,male,2,0,0,0,0,M,0,1,1,-0.6223264222277463,-0.011264335719652002,7
52,1,1,female,6,1,0,3,2,D,1,0,3,1.4456206772075837,-0.44330363381350085,38
53,1,2,female,4,1,0,2,0,M,1,0,3,-0.03148439381765197,-0.16556408503888373,13
54,0,1,male,6,0,1,3,2,B,1,0,1,2.6273047340277724,0.05045556400804069,30
55,1,1,male,6,0,0,3,0,C,0,1,1,0.8976486522956356,-0.6722702733205447,35
56,1,2,female,2,0,0,1,0,M,0,1,2,-0.6223264222277463,-0.6593232828604253,10
57,0,3,male,4,0,0,0,2,M,0,1,1,-0.06841202059328287,0.6830845362168908,7
58,1,2,female,0,1,2,2,0,M,3,0,2,-1.8040104790479348,-1.6468416785035083,6
59,0,3,male,0,5,2,3,0,M,7,0,4,-1.3608789577403642,-0.9370628316350423,5
60,0,3,male,2,0,0,0,2,M,0,1,1,-0.5484711686764845,0.08131551387188703,7
61,1,1,female,5,0,0,3,0,B,0,1,2,0.6332128881437041,-0.7827630823158106,80
62,0,1,male,6,1,0,3,0,C,1,0,1,1.1501996630025366,-0.5667434332688862,41
63,0,3,male,0,3,2,2,0,M,5,0,4,-1.8778657325991965,-1.5851217787758156,4
64,0,1,male,6,0,0,2,2,M,0,1,1,0.8976486522956356,-0.6722702733205447,27
65,1,3,male,0,1,1,2,2,M,2,0,4,-1.778099594260367,-1.4600618319525782,5
66,1,2,female,4,0,0,1,0,F,0,1,3,-0.03148439381765197,-0.16556408503888373,10
67,0,3,male,2,0,0,1,0,M,0,1,1,-0.7700369293302698,-0.19642403490273008,8
68,1,3,female,1,4,2,1,0,M,6,0,2,-0.9177474364327934,-0.38158373408580815,1
69,0,3,male,3,2,0,1,0,M,2,0,1,-0.2530501544714373,0.4516349122380432,2
70,0,2,male,4,0,0,1,0,M,0,1,1,0.1900813668361334,0.019595614144194345,10
71,0,3,female,1,5,2,3,0,M,7,0,2,-0.9916026899840552,-0.4741635836773472,5
72,0,2,male,2,0,0,3,0,M,0,1,1,-0.6223264222277463,-0.6593232828604253,73
73,0,3,male,3,1,0,2,2,M,1,0,1,-0.2530501544714373,0.4516349122380432,7
74,1,3,male,4,0,0,3,0,M,0,1,1,0.1900813668361334,1.0071140097872773,56
75,0,3,male,3,0,0,0,0,F,0,1,1,-0.32690540802269913,0.35905506264650416,7
76,0,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
77,0,3,male,4,0,0,1,0,M,0,1,1,-0.05180265134485492,0.703904895404508,8
78,1,2,male,0,0,2,2,0,M,2,0,4,-2.1119868863566964,-1.904213660367987,9
79,1,3,female,4,0,0,1,0,M,0,1,2,0.04237085973360981,0.8219543106041993,12
80,0,3,male,2,0,0,1,0,M,0,1,1,-0.5484711686764845,0.08131551387188703,9
81,1,3,male,4,0,0,1,0,M,0,1,1,-0.03148439381765197,0.7293744610126602,9
82,1,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
83,0,1,male,4,0,0,3,0,M,0,1,1,-0.10533964736891376,-1.0913625809542742,47
84,1,2,female,1,0,0,1,0,M,0,1,2,-0.9177474364327934,-0.906202881771196,10
85,1,3,female,4,3,0,2,0,M,3,0,3,0.2639366203873952,1.0996938593788164,3
86,0,3,male,1,1,3,3,0,M,4,0,1,-0.9916026899840552,-0.4741635836773472,6
87,0,3,male,4,0,0,1,0,M,0,1,1,-0.05180265134485492,0.703904895404508,8
88,1,1,female,3,3,2,5,0,C,5,0,2,-0.47461591512522266,-1.2456623302735057,43
89,0,3,male,3,0,0,1,0,M,0,1,1,-0.4007606615739609,0.2664752130549651,8
90,0,3,male,4,0,0,1,0,M,0,1,1,-0.03148439381765197,0.7293744610126602,8
91,0,3,male,2,0,0,0,0,M,0,1,1,-0.696181675779008,-0.10384418531119104,7
92,0,1,male,6,1,0,3,0,E,1,0,1,1.2240549165537984,-0.5358834834050399,30
93,0,3,male,3,1,2,2,0,M,3,0,1,-0.2530501544714373,0.4516349122380432,5
94,0,3,male,6,0,0,0,0,M,0,1,1,2.1841732127202014,3.5067699487588313,7
95,0,3,male,4,0,0,1,0,M,0,1,1,-0.05180265134485492,0.703904895404508,8
96,0,1,male,6,0,0,3,2,A,0,1,1,3.070436255335343,0.23561526319111875,34
97,1,1,male,3,0,1,3,2,D,1,0,1,-0.47461591512522266,-1.2456623302735057,31
98,1,2,female,5,0,1,2,0,M,1,0,3,0.33779187393865695,0.14303541359957972,11
99,0,2,male,5,1,0,2,0,M,1,0,1,0.33779187393865695,0.14303541359957972,13
100,0,3,female,4,0,0,0,0,M,0,1,2,-0.10533964736891376,0.6367946114211213,7
101,0,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
102,0,1,male,2,0,1,3,0,D,1,0,1,-0.6223264222277463,-1.3073822300011986,38
103,0,3,male,4,0,0,1,0,M,0,1,1,0.2639366203873952,1.0996938593788164,8
104,0,3,male,5,2,0,1,0,M,2,0,1,0.5593576345924423,1.4700132577449725,2
105,0,3,male,4,0,0,0,0,M,0,1,1,-0.10533964736891376,0.6367946114211213,7
106,1,3,female,2,0,0,0,0,M,0,1,2,-0.6223264222277463,-0.011264335719652002,7
107,1,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
108,0,3,male,5,0,0,0,0,M,0,1,1,0.6332128881437041,1.5625931073365116,7
109,1,3,female,1,1,0,2,1,M,1,0,2,-0.9825045790393345,-0.46275881959723003,12
110,0,1,male,6,0,0,3,0,C,0,1,1,1.2979101701050602,-0.5050235335411936,52
111,0,3,female,1,1,0,2,2,M,1,0,2,-1.1023855703109477,-0.6130333580646558,7
112,0,3,male,2,0,0,1,0,M,0,1,1,-0.5484711686764845,0.08131551387188703,8
113,0,3,female,2,1,0,1,0,M,1,0,2,-0.696181675779008,-0.10384418531119104,4
114,0,3,female,1,0,0,2,2,M,0,1,2,-0.9177474364327934,-0.38158373408580815,14
115,0,3,male,2,0,0,1,0,M,0,1,1,-0.6223264222277463,-0.011264335719652002,7
116,0,3,male,6,0,0,0,1,M,0,1,1,3.033508628559712,4.57143821906153,7
117,0,2,male,4,1,0,2,0,M,1,0,1,-0.03148439381765197,-0.16556408503888373,10
118,0,1,male,3,0,1,4,2,B,1,0,1,-0.4007606615739609,-1.2148023804096595,123
119,0,3,female,0,4,2,3,0,M,6,0,2,-2.0255762397017203,-1.7702814779588936,4
120,0,2,male,2,2,0,3,0,M,2,0,1,-0.6223264222277463,-0.6593232828604253,24
121,0,3,male,4,0,0,1,0,M,0,1,1,-0.05180265134485492,0.703904895404508,8
122,0,2,male,4,1,0,2,2,M,1,0,1,0.22700899361176427,0.05045556400804069,15
123,1,2,female,4,0,0,1,0,E,0,1,2,0.22700899361176427,0.05045556400804069,13
124,0,1,male,6,0,1,3,0,D,1,0,1,1.8148969449638928,-0.2890038844942691,38
125,1,3,male,1,1,0,1,2,M,1,0,4,-1.2870237041891024,-0.8444829820435034,5
126,0,3,male,4,0,0,0,1,M,0,1,1,-0.05180265134485492,0.703904895404508,7
127,1,3,male,3,0,0,0,0,M,0,1,1,-0.4007606615739609,0.2664752130549651,7
128,1,3,female,1,1,1,2,2,F,2,0,2,-0.9825045790393345,-0.46275881959723003,7
129,0,3,male,6,0,0,0,0,M,0,1,1,1.1501996630025366,2.2106520544772845,6
130,0,3,male,4,0,0,0,2,M,0,1,1,0.2639366203873952,1.0996938593788164,7
131,0,3,male,2,0,0,0,0,M,0,1,1,-0.696181675779008,-0.10384418531119104,7
132,0,3,female,6,1,0,2,0,M,1,0,3,1.2979101701050602,2.3958117536603627,7
133,1,2,female,4,1,0,2,0,M,1,0,3,-0.03148439381765197,-0.16556408503888373,13
134,0,2,male,3,0,0,1,0,M,0,1,1,-0.32690540802269913,-0.41244368394965447,13
135,0,2,male,3,0,0,2,2,M,0,1,1,-0.47461591512522266,-0.5358834834050399,15
136,1,1,female,2,0,2,2,0,D,2,0,2,-0.7700369293302698,-1.3691021297288912,8
137,0,1,male,5,1,0,3,0,C,1,0,1,0.5593576345924423,-0.8136230321796569,26
138,0,3,male,1,0,0,1,0,M,0,1,1,-0.9916026899840552,-0.4741635836773472,9
139,0,1,male,3,0,0,3,2,B,0,1,1,-0.4007606615739609,-1.2148023804096595,79
140,0,3,female,4,0,2,2,2,M,2,0,3,0.301983266156227,1.1473865091683972,5
141,1,3,female,2,0,0,0,0,M,0,1,2,-0.5484711686764845,0.08131551387188703,7
142,1,3,female,3,1,0,2,0,M,1,0,3,-0.4007606615739609,0.2664752130549651,7
143,0,3,male,2,0,0,0,1,M,0,1,1,-0.7700369293302698,-0.19642403490273008,6
144,0,2,male,1,0,0,1,0,M,0,1,1,-0.8438921828815316,-0.8444829820435034,11
145,0,2,male,2,1,1,3,0,M,2,0,1,-0.7700369293302698,-0.7827630823158106,12
146,1,3,male,3,0,0,0,0,M,0,1,1,-0.17919490092017554,0.5442147618295822,7
147,0,3,female,0,2,2,3,0,M,4,0,2,-1.5085894648428877,-1.1222225308181204,6
148,0,2,male,5,0,2,2,0,F,2,0,1,0.5224300078168114,0.29733516291881146,8
149,0,2,male,6,0,0,1,0,M,0,1,5,0.9286339023487512,0.6367946114211213,13
150,0,2,male,6,0,0,1,0,M,0,1,5,1.5933311843101072,1.1922737089703555,12
151,1,1,female,2,1,0,3,0,C,1,0,3,-0.5484711686764845,-1.2765222801373521,33
152,0,3,male,6,0,0,1,0,M,0,1,1,1.9256798252907854,3.1827404751884445,8
153,0,3,male,5,0,2,2,0,M,2,0,1,0.8178510220218586,1.794042731315359,4
154,0,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
155,0,1,male,6,0,1,3,2,M,1,0,1,1.5933311843101072,-0.38158373408580815,30
156,1,3,female,1,0,0,0,1,M,0,1,2,-0.9916026899840552,-0.4741635836773472,7
157,0,3,male,4,0,0,1,0,M,0,1,1,0.04237085973360981,0.8219543106041993,8
158,0,3,male,4,0,0,1,0,M,0,1,1,-0.05180265134485492,0.703904895404508,8
159,0,3,male,0,8,2,3,0,M,10,0,4,-1.778099594260367,-1.4600618319525782,6
160,0,3,male,6,0,1,2,0,M,1,0,1,1.0763444094512749,2.1180722048857454,8
161,1,2,female,5,0,0,2,0,M,0,1,3,0.7809233952462277,0.5133548119657358,15
162,0,3,male,3,0,0,0,0,M,0,1,1,-0.2530501544714373,0.4516349122380432,7
163,0,3,male,1,0,0,1,0,M,0,1,1,-0.9177474364327934,-0.38158373408580815,8
164,0,3,male,0,4,1,3,0,M,5,0,4,-2.099431493252982,-1.8628613275504327,6
165,1,3,male,0,0,2,2,0,M,2,0,4,-1.5085894648428877,-1.1222225308181204,6
166,1,1,female,5,0,1,3,0,E,1,0,3,0.8104654966667323,-0.7086992026425795,27
167,0,3,female,6,1,4,2,0,M,5,0,3,1.1501996630025366,2.2106520544772845,4
168,0,1,male,6,0,0,2,0,M,0,1,1,0.8976486522956356,-0.6722702733205447,25
169,0,3,male,4,0,0,3,0,M,0,1,1,-0.10533964736891376,0.6367946114211213,56
170,0,1,male,6,0,0,3,0,B,0,1,1,2.3318837198227254,-0.0729842354473447,33
171,0,3,male,0,4,1,2,1,M,5,0,4,-1.8778657325991965,-1.5851217787758156,4
172,1,3,female,0,1,1,1,0,M,2,0,2,-2.099431493252982,-1.8628613275504327,3
173,0,3,male,2,0,0,1,0,M,0,1,1,-0.6223264222277463,-0.011264335719652002,7
174,0,1,male,6,0,0,2,2,A,0,1,1,1.9626074520664163,-0.2272839847665764,30
175,0,3,male,1,1,1,0,0,M,2,0,1,-0.8438921828815316,-0.2890038844942691,2
176,0,3,male,0,3,1,2,0,M,4,0,4,-1.778099594260367,-1.4600618319525782,5
177,0,1,female,6,0,0,2,2,C,0,1,2,1.5194759307588455,-0.41244368394965447,28
178,0,2,male,4,0,0,1,0,M,0,1,1,0.04237085973360981,-0.10384418531119104,13
179,0,3,male,5,0,0,0,0,M,0,1,1,0.48550238104118054,1.3774334081534336,0
180,0,3,female,1,8,2,3,0,M,10,0,2,-0.9825045790393345,-0.46275881959723003,6
181,0,2,male,4,0,0,2,2,M,0,1,1,0.24682381773527334,0.0670145614959581,15
182,0,3,male,0,4,2,3,0,M,6,0,4,-1.5085894648428877,-1.1222225308181204,4
183,1,2,male,0,2,1,3,0,F,3,0,4,-2.099431493252982,-1.893721277414279,9
184,1,3,female,0,0,2,2,0,M,2,0,2,-1.8778657325991965,-1.5851217787758156,7
185,0,1,male,6,0,0,3,0,A,0,1,1,0.8976486522956356,-0.6722702733205447,50
186,1,3,female,4,1,0,2,1,M,1,0,3,0.301983266156227,1.1473865091683972,7
187,1,1,male,6,0,0,2,0,M,0,1,1,1.1501996630025366,-0.5667434332688862,26
188,0,3,male,5,1,1,2,1,M,2,0,1,0.7809233952462277,1.7477528065195898,5
189,0,3,male,5,0,0,0,0,M,0,1,1,0.48550238104118054,1.3774334081534336,7
190,1,2,female,4,0,0,1,0,M,0,1,3,0.1900813668361334,0.019595614144194345,13
191,0,2,male,2,0,0,1,0,M,0,1,1,-0.7700369293302698,-0.7827630823158106,13
192,1,3,female,2,1,0,0,0,M,1,0,2,-0.7700369293302698,-0.19642403490273008,3
193,1,2,male,0,1,1,2,0,F,2,0,4,-1.9517209861504583,-1.7702814779588936,8
194,1,1,female,6,0,0,2,2,B,0,1,3,1.0763444094512749,-0.5976033831327325,27
195,1,1,female,6,0,0,4,2,B,0,1,2,2.1103179591689396,-0.16556408503888373,146
196,0,3,male,4,0,0,0,1,M,0,1,1,-0.05180265134485492,0.703904895404508,7
197,0,3,male,6,0,1,1,0,M,1,0,1,0.9286339023487512,1.9329125057026677,4
198,1,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
199,0,2,female,3,0,0,1,0,M,0,1,2,-0.4007606615739609,-0.4741635836773472,13
200,0,3,male,4,0,0,1,0,M,0,1,1,-0.10533964736891376,0.6367946114211213,9
201,0,3,male,4,8,2,3,0,M,10,0,1,-0.05180265134485492,0.703904895404508,6
202,0,3,male,5,0,0,0,0,M,0,1,1,0.33779187393865695,1.1922737089703555,6
203,0,3,male,6,0,0,0,2,M,0,1,1,1.1871272897781675,2.256941979273054,7
204,1,3,male,1,0,0,1,0,M,0,1,1,-0.8438921828815316,-0.2890038844942691,8
205,0,3,female,0,0,1,1,0,G,1,0,2,-2.0255762397017203,-1.7702814779588936,5
206,0,3,male,4,1,0,2,0,M,1,0,1,0.1900813668361334,1.0071140097872773,7
207,1,3,male,3,0,0,2,2,M,0,1,1,-0.2530501544714373,0.4516349122380432,18
208,1,3,female,1,0,0,0,1,M,0,1,2,-0.9916026899840552,-0.4741635836773472,7
209,1,1,male,5,0,0,2,2,A,0,1,1,0.7809233952462277,-0.721043182588118,31
210,0,3,male,3,0,0,0,0,M,0,1,1,-0.4007606615739609,0.2664752130549651,7
211,1,2,female,5,0,0,2,0,M,0,1,2,0.4116471274899187,0.20475531332727243,21
212,0,3,male,2,0,0,0,0,M,0,1,1,-0.5484711686764845,0.08131551387188703,7
213,0,2,male,4,0,0,1,0,M,0,1,1,0.04237085973360981,-0.10384418531119104,13
214,0,3,male,4,1,0,0,1,M,1,0,1,-0.05180265134485492,0.703904895404508,3
215,1,1,female,4,1,0,4,2,D,1,0,2,0.11622611328487159,-0.998782731362735,56
216,1,3,female,3,0,0,1,0,M,0,1,2,-0.17919490092017554,0.5442147618295822,7
217,0,2,male,6,1,0,2,0,M,1,0,1,0.9286339023487512,0.6367946114211213,13
218,1,1,female,4,0,0,3,2,D,0,1,2,0.1900813668361334,-0.9679227814988887,76
219,0,2,male,4,0,0,1,0,M,0,1,1,0.04237085973360981,-0.10384418531119104,10
220,1,3,male,1,0,0,1,0,M,0,1,1,-0.9916026899840552,-0.4741635836773472,8
221,0,2,male,3,0,0,1,0,M,0,1,1,-0.17919490092017554,-0.2890038844942691,13
222,0,3,male,6,0,0,1,0,M,0,1,1,1.5933311843101072,2.766131152026519,8
223,0,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
224,1,1,male,5,1,0,3,0,C,1,0,1,0.6332128881437041,-0.7827630823158106,45
225,0,3,male,2,0,0,1,0,M,0,1,1,-0.5484711686764845,0.08131551387188703,9
226,1,2,male,2,0,0,1,0,M,0,1,1,-0.7700369293302698,-0.7827630823158106,10
227,0,3,male,2,0,0,0,0,M,0,1,1,-0.6592540490033771,-0.05755426051542152,7
228,0,2,male,1,0,0,1,0,M,0,1,1,-0.8438921828815316,-0.8444829820435034,13
229,0,3,female,1,3,1,2,0,M,4,0,2,-0.9825045790393345,-0.46275881959723003,5
230,1,1,female,5,1,0,3,0,C,1,0,3,0.4116471274899187,-0.8753429319073497,41
231,0,3,male,4,0,0,0,0,M,0,1,1,-0.03148439381765197,0.7293744610126602,7
232,0,2,male,6,0,0,1,0,M,0,1,1,2.1841732127202014,1.6860329067918969,13
233,1,3,female,0,4,2,3,0,M,6,0,2,-1.8040104790479348,-1.4925419291842765,4
234,0,2,male,3,0,0,1,0,M,0,1,1,-0.4007606615739609,-0.4741635836773472,10
235,0,3,female,1,0,0,0,0,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
236,0,2,male,6,1,0,2,0,M,1,0,1,1.0763444094512749,0.7602344108765067,13
237,1,2,female,0,0,2,2,0,M,2,0,2,-1.5824447183941495,-1.4616819793204303,8
238,0,2,male,2,0,0,1,0,M,0,1,1,-0.7700369293302698,-0.7827630823158106,10
239,0,2,male,4,0,0,1,0,M,0,1,1,0.2639366203873952,0.08131551387188703,12
240,0,3,female,1,1,0,2,2,M,1,0,2,-0.9825045790393345,-0.46275881959723003,7
241,1,3,female,1,1,0,2,1,M,1,0,2,-0.9825045790393345,-0.46275881959723003,7
242,0,2,male,4,0,0,1,0,M,0,1,1,-0.03148439381765197,-0.16556408503888373,10
243,0,3,male,2,0,0,0,0,M,0,1,1,-0.5484711686764845,0.08131551387188703,7
244,0,3,male,4,0,0,0,2,M,0,1,1,0.04237085973360981,0.8219543106041993,7
245,0,1,male,6,2,0,3,1,C,2,0,5,1.0763444094512749,-0.5976033831327325,30
246,0,3,female,3,0,0,0,0,M,0,1,2,-0.32690540802269913,0.35905506264650416,7
247,1,2,female,3,0,2,2,0,M,2,0,3,-0.4007606615739609,-0.4741635836773472,4
248,1,1,male,5,1,1,3,0,D,2,0,1,0.5593576345924423,-0.8136230321796569,17
249,0,2,male,6,1,0,2,0,M,1,0,5,1.8148969449638928,1.3774334081534336,13
250,0,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
251,0,3,female,4,1,1,1,0,G,2,0,3,-0.03148439381765197,0.7293744610126602,3
252,0,1,male,6,0,0,2,0,C,0,1,1,2.405738973373987,-0.042124285583498344,26
253,0,3,male,4,1,0,2,0,M,1,0,1,0.04237085973360981,0.8219543106041993,8
254,0,3,female,6,0,2,2,0,M,2,0,3,0.8547786487974894,1.8403326561111286,6
255,1,3,female,4,0,2,2,2,M,2,0,3,-0.03148439381765197,0.7293744610126602,5
256,1,1,female,5,0,0,3,2,M,0,1,3,0.8104654966667323,-0.7086992026425795,79
257,1,1,female,4,0,0,3,0,B,0,1,2,0.04237085973360981,-1.0296426812265813,86
258,1,1,female,5,0,0,5,2,M,0,1,2,0.4116471274899187,-0.8753429319073497,512
259,1,2,female,6,0,1,2,0,M,1,0,3,1.5194759307588455,1.1305538092426628,13
260,0,3,male,4,0,0,0,1,M,0,1,1,-0.05180265134485492,0.703904895404508,7
261,1,3,male,0,4,2,3,0,M,6,0,4,-1.9517209861504583,-1.6777016283673547,4
262,0,1,male,6,1,1,3,0,E,2,0,1,1.667186437861369,-0.3507237842219618,26
263,0,1,male,5,0,0,0,0,B,0,1,1,0.7809233952462277,-0.721043182588118,0
264,0,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
265,0,2,male,5,0,0,1,0,M,0,1,1,0.48550238104118054,0.2664752130549651,10
266,0,3,male,1,4,1,3,0,M,5,0,1,-0.9916026899840552,-0.4741635836773472,6
267,1,3,male,3,1,0,0,0,M,1,0,1,-0.32690540802269913,0.35905506264650416,3
268,1,1,female,6,0,1,4,0,C,1,0,3,2.1103179591689396,-0.16556408503888373,76
269,1,1,female,5,0,0,4,0,C,0,1,2,0.4116471274899187,-0.8753429319073497,135
270,0,1,male,6,0,0,2,0,M,0,1,1,0.8976486522956356,-0.6722702733205447,31
271,1,3,male,3,0,0,0,0,M,0,1,1,-0.32690540802269913,0.35905506264650416,0
272,1,2,female,6,0,1,2,0,M,1,0,3,0.8547786487974894,0.5750747116934285,9
273,0,1,male,5,0,1,2,2,C,1,0,1,0.5593576345924423,-0.8136230321796569,14
274,1,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
275,1,1,female,6,1,0,3,0,D,1,0,2,2.479594226925249,-0.011264335719652002,38
276,0,3,female,6,0,0,0,0,M,0,1,2,1.1501996630025366,2.2106520544772845,7
277,0,2,male,4,0,0,0,0,M,0,1,1,0.24682381773527334,0.0670145614959581,0
278,0,3,male,0,4,1,2,1,M,5,0,4,-1.6562999719454112,-1.3073822300011986,4
279,1,3,female,5,1,1,2,0,M,2,0,3,0.4116471274899187,1.2848535585618945,6
280,0,3,male,6,0,0,0,1,M,0,1,1,2.6273047340277724,4.062249046308065,7
281,0,3,male,4,0,0,0,0,M,0,1,1,-0.10533964736891376,0.6367946114211213,7
282,0,3,male,1,0,0,1,0,M,0,1,1,-0.9916026899840552,-0.4741635836773472,9
283,1,3,male,2,0,0,1,0,M,0,1,1,-0.7700369293302698,-0.19642403490273008,8
284,0,1,male,6,0,0,2,0,A,0,1,1,0.8976486522956356,-0.6722702733205447,26
285,0,3,male,4,0,0,1,2,M,0,1,1,0.2639366203873952,1.0996938593788164,8
286,1,3,male,4,0,0,1,0,M,0,1,1,0.04237085973360981,0.8219543106041993,9
287,0,3,male,2,0,0,0,0,M,0,1,1,-0.5484711686764845,0.08131551387188703,7
288,1,2,male,6,0,0,1,0,M,0,1,1,0.9286339023487512,0.6367946114211213,13
289,1,3,female,2,0,0,0,1,M,0,1,2,-0.5484711686764845,0.08131551387188703,7
290,1,1,female,3,0,0,3,0,M,0,1,2,-0.2530501544714373,-1.1530824806819668,78
291,1,1,female,2,1,0,3,2,B,1,0,3,-0.7700369293302698,-1.3691021297288912,45
292,0,2,male,5,0,0,1,2,D,0,1,1,0.48550238104118054,0.2664752130549651,12
293,0,3,female,3,0,0,1,0,M,0,1,2,-0.4007606615739609,0.2664752130549651,8
